app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 10:35:48.280 [info] <0.16238.2> accepting AMQP connection <0.16238.2> (10.0.16.4:51486 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 11:54:35.490 [info] <0.17452.2> connection <0.17452.2> (10.0.16.4:53860 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 12:10:20.942 [info] <0.17695.2> accepting AMQP connection <0.17695.2> (10.0.16.4:53874 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 12:10:20.946 [info] <0.17695.2> connection <0.17695.2> (10.0.16.4:53874 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 12:26:06.369 [info] <0.17936.2> accepting AMQP connection <0.17936.2> (10.0.16.4:53882 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 12:26:06.373 [info] <0.17936.2> connection <0.17936.2> (10.0.16.4:53882 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 12:41:51.804 [info] <0.18180.2> accepting AMQP connection <0.18180.2> (10.0.16.4:53890 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 12:41:51.808 [info] <0.18180.2> connection <0.18180.2> (10.0.16.4:53890 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 12:57:40.254 [info] <0.18423.2> accepting AMQP connection <0.18423.2> (10.0.16.4:53898 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 12:57:40.258 [info] <0.18423.2> connection <0.18423.2> (10.0.16.4:53898 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 13:13:25.706 [info] <0.18666.2> accepting AMQP connection <0.18666.2> (10.0.16.4:53910 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 13:13:25.709 [info] <0.18666.2> connection <0.18666.2> (10.0.16.4:53910 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 13:29:11.136 [info] <0.18906.2> accepting AMQP connection <0.18906.2> (10.0.16.4:53918 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 13:29:11.140 [info] <0.18906.2> connection <0.18906.2> (10.0.16.4:53918 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 13:44:59.590 [info] <0.19151.2> accepting AMQP connection <0.19151.2> (10.0.16.4:53926 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 13:44:59.594 [info] <0.19151.2> connection <0.19151.2> (10.0.16.4:53926 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 14:00:45.012 [info] <0.19394.2> accepting AMQP connection <0.19394.2> (10.0.16.4:53940 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 14:00:45.016 [info] <0.19394.2> connection <0.19394.2> (10.0.16.4:53940 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 14:16:33.470 [info] <0.19638.2> accepting AMQP connection <0.19638.2> (10.0.16.4:53948 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 14:16:33.474 [info] <0.19638.2> connection <0.19638.2> (10.0.16.4:53948 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 14:32:18.896 [info] <0.19880.2> accepting AMQP connection <0.19880.2> (10.0.16.4:53956 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 14:32:18.900 [info] <0.19880.2> connection <0.19880.2> (10.0.16.4:53956 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 14:48:07.334 [info] <0.20124.2> accepting AMQP connection <0.20124.2> (10.0.16.4:53964 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 14:48:07.338 [info] <0.20124.2> connection <0.20124.2> (10.0.16.4:53964 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 15:03:52.744 [info] <0.20367.2> accepting AMQP connection <0.20367.2> (10.0.16.4:54068 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 15:03:52.749 [info] <0.20367.2> connection <0.20367.2> (10.0.16.4:54068 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 15:19:38.222 [info] <0.20610.2> accepting AMQP connection <0.20610.2> (10.0.16.4:54076 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 15:19:38.226 [info] <0.20610.2> connection <0.20610.2> (10.0.16.4:54076 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 15:35:23.628 [info] <0.20854.2> accepting AMQP connection <0.20854.2> (10.0.16.4:54086 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 15:35:23.632 [info] <0.20854.2> connection <0.20854.2> (10.0.16.4:54086 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 15:51:09.043 [info] <0.21094.2> accepting AMQP connection <0.21094.2> (10.0.16.4:54094 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 15:51:09.048 [info] <0.21094.2> connection <0.21094.2> (10.0.16.4:54094 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 16:06:54.493 [info] <0.21337.2> accepting AMQP connection <0.21337.2> (10.0.16.4:54106 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 16:06:54.496 [info] <0.21337.2> connection <0.21337.2> (10.0.16.4:54106 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 16:22:39.935 [info] <0.21580.2> accepting AMQP connection <0.21580.2> (10.0.16.4:54114 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 16:22:39.940 [info] <0.21580.2> connection <0.21580.2> (10.0.16.4:54114 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 16:38:25.377 [info] <0.21824.2> accepting AMQP connection <0.21824.2> (10.0.16.4:54122 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 16:38:25.382 [info] <0.21824.2> connection <0.21824.2> (10.0.16.4:54122 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 16:54:10.846 [info] <0.22065.2> accepting AMQP connection <0.22065.2> (10.0.16.4:54130 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 16:54:10.849 [info] <0.22065.2> connection <0.22065.2> (10.0.16.4:54130 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 17:09:56.308 [info] <0.22308.2> accepting AMQP connection <0.22308.2> (10.0.16.4:54142 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 17:09:56.312 [info] <0.22308.2> connection <0.22308.2> (10.0.16.4:54142 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 17:25:41.733 [info] <0.22551.2> accepting AMQP connection <0.22551.2> (10.0.16.4:54152 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 17:25:41.737 [info] <0.22551.2> connection <0.22551.2> (10.0.16.4:54152 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 17:41:27.144 [info] <0.22795.2> accepting AMQP connection <0.22795.2> (10.0.16.4:54160 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 17:41:27.149 [info] <0.22795.2> connection <0.22795.2> (10.0.16.4:54160 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 17:57:12.580 [info] <0.23035.2> accepting AMQP connection <0.23035.2> (10.0.16.4:54168 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 17:57:12.585 [info] <0.23035.2> connection <0.23035.2> (10.0.16.4:54168 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 18:12:58.010 [info] <0.23278.2> accepting AMQP connection <0.23278.2> (10.0.16.4:54180 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 18:12:58.016 [info] <0.23278.2> connection <0.23278.2> (10.0.16.4:54180 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 18:28:43.442 [info] <0.23521.2> accepting AMQP connection <0.23521.2> (10.0.16.4:54612 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 18:28:43.446 [info] <0.23521.2> connection <0.23521.2> (10.0.16.4:54612 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 18:44:28.881 [info] <0.23765.2> accepting AMQP connection <0.23765.2> (10.0.16.4:55044 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 18:44:28.885 [info] <0.23765.2> connection <0.23765.2> (10.0.16.4:55044 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 19:00:14.293 [info] <0.24006.2> accepting AMQP connection <0.24006.2> (10.0.16.4:55246 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 19:00:14.298 [info] <0.24006.2> connection <0.24006.2> (10.0.16.4:55246 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 19:15:59.725 [info] <0.24249.2> accepting AMQP connection <0.24249.2> (10.0.16.4:55628 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 19:15:59.731 [info] <0.24249.2> connection <0.24249.2> (10.0.16.4:55628 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 19:31:45.183 [info] <0.24492.2> accepting AMQP connection <0.24492.2> (10.0.16.4:55944 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 19:31:45.189 [info] <0.24492.2> connection <0.24492.2> (10.0.16.4:55944 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 19:47:30.604 [info] <0.24736.2> accepting AMQP connection <0.24736.2> (10.0.16.4:56244 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 19:47:30.608 [info] <0.24736.2> connection <0.24736.2> (10.0.16.4:56244 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 20:03:16.080 [info] <0.24978.2> accepting AMQP connection <0.24978.2> (10.0.16.4:56554 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 20:03:16.086 [info] <0.24978.2> connection <0.24978.2> (10.0.16.4:56554 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 20:19:01.538 [info] <0.25220.2> accepting AMQP connection <0.25220.2> (10.0.16.4:56854 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 20:19:01.542 [info] <0.25220.2> connection <0.25220.2> (10.0.16.4:56854 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 20:34:46.986 [info] <0.25463.2> accepting AMQP connection <0.25463.2> (10.0.16.4:57160 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 20:34:46.991 [info] <0.25463.2> connection <0.25463.2> (10.0.16.4:57160 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 20:50:32.403 [info] <0.25707.2> accepting AMQP connection <0.25707.2> (10.0.16.4:57462 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 20:50:32.407 [info] <0.25707.2> connection <0.25707.2> (10.0.16.4:57462 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 21:06:17.881 [info] <0.25948.2> accepting AMQP connection <0.25948.2> (10.0.16.4:57772 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 21:06:17.886 [info] <0.25948.2> connection <0.25948.2> (10.0.16.4:57772 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 21:22:03.325 [info] <0.26191.2> accepting AMQP connection <0.26191.2> (10.0.16.4:58072 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 21:22:03.330 [info] <0.26191.2> connection <0.26191.2> (10.0.16.4:58072 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 21:37:48.803 [info] <0.26434.2> accepting AMQP connection <0.26434.2> (10.0.16.4:58386 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 21:37:48.807 [info] <0.26434.2> connection <0.26434.2> (10.0.16.4:58386 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 21:53:34.256 [info] <0.26678.2> accepting AMQP connection <0.26678.2> (10.0.16.4:58686 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 21:53:34.260 [info] <0.26678.2> connection <0.26678.2> (10.0.16.4:58686 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 22:09:19.702 [info] <0.26921.2> accepting AMQP connection <0.26921.2> (10.0.16.4:59010 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 22:09:19.707 [info] <0.26921.2> connection <0.26921.2> (10.0.16.4:59010 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 22:25:05.121 [info] <0.27161.2> accepting AMQP connection <0.27161.2> (10.0.16.4:59322 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 22:25:05.125 [info] <0.27161.2> connection <0.27161.2> (10.0.16.4:59322 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 22:40:50.597 [info] <0.27404.2> accepting AMQP connection <0.27404.2> (10.0.16.4:59628 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 22:40:50.601 [info] <0.27404.2> connection <0.27404.2> (10.0.16.4:59628 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 22:56:36.033 [info] <0.27648.2> accepting AMQP connection <0.27648.2> (10.0.16.4:59928 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 22:56:36.037 [info] <0.27648.2> connection <0.27648.2> (10.0.16.4:59928 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 23:12:21.463 [info] <0.27891.2> accepting AMQP connection <0.27891.2> (10.0.16.4:60310 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 23:12:21.467 [info] <0.27891.2> connection <0.27891.2> (10.0.16.4:60310 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 23:28:06.905 [info] <0.28132.2> accepting AMQP connection <0.28132.2> (10.0.16.4:60610 -> 10.0.16.8:5673)
app_testujaca_rabbitmq.1.nl4fcnjrj6m9@centos-l2.novalocal    | 2020-11-17 23:28:06.909 [info] <0.28132.2> connection <0.28132.2> (10.0.16.4:60610 -> 10.0.16.8:5673): user 'bitnami' authenticated and granted access to vhost '/'
